Compound_Score,Neg_Score,Neu_Score,Pos_Score,Timestamp,Tweet_Text,Tweets_Ago,User
0.0,0.0,1.0,0.0,Sat Jun 09 09:59:33 +0000 2018,New York Today: New York Today: 5 Reasons to Watch the Tonys. https://t.co/uECIneaanG,90,NYT
0.6369,0.0,0.792,0.208,Sat Jun 09 09:58:33 +0000 2018,Best of Late Night: Colbert Wants Trump to Prepare More for His Meeting With Kim Jong-un. https://t.co/dlLu5WdoMN,91,NYT
-0.8979,0.645,0.355,0.0,Sat Jun 09 09:57:33 +0000 2018,"Crime: Dangerous Disappearing Acts, With Killers in Pursuit. https://t.co/AMeAzrnitr",92,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 09:56:33 +0000 2018,Inside the List: Everything Is Copy. https://t.co/VVuY4wjMTR,93,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 09:55:33 +0000 2018,"New in Paperback: ‘Rising Star,’ ‘Mrs. Fletcher’. https://t.co/18RNZNm0Qj",94,NYT
0.0516,0.145,0.64,0.215,Sat Jun 09 09:54:33 +0000 2018,"The Shortlist: The Struggles of Modern Motherhood in Essays, a Thriller and a Dystopian Novel. https://t.co/HyV38ek8eQ",95,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 09:50:33 +0000 2018,"Fiction: A Persian Turned Parisian Insists: I’m Not an Immigrant, I’m an Exile. https://t.co/eiNIhsC2RD",96,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 09:47:33 +0000 2018,Our Back Pages: Notes From the Book Review Archives. https://t.co/NeQuxiRhSi,97,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 09:46:33 +0000 2018,What’s on TV Friday: ‘Sense8’ and ‘Just Another Immigrant’. https://t.co/C78Y2SRZhS,98,NYT
-0.5994,0.262,0.738,0.0,Sat Jun 09 09:45:33 +0000 2018,"David Douglas Duncan, 102, Who Photographed the Reality of War, Dies. https://t.co/rUB7XFI09P",99,NYT
-0.4767,0.279,0.721,0.0,Sat Jun 09 09:44:33 +0000 2018,Op-Ed Columnist: The Price of an Incompetent President. https://t.co/EGkVSAGX3f,100,NYT
