Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
-0.5574,Wed Jun 06 12:21:20 +0000 2018,0.847,0.153,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBC_ARoadshow: Fiona discovers more about suffragette Emily Wilding Davison, who died after throwing herself in front of the King's hor…",84
-0.6523,Wed Jun 06 12:03:06 +0000 2018,0.764,0.236,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Ethan Hawke relives the time when one of his co-stars DIED on stage. #TheGNShow

https://t.co/XIG2Y8OA7m",85
0.0,Wed Jun 06 11:02:02 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","In 1993, Steven Spielberg's film Jurassic Park defined dinosaurs for an entire generation... but does it make scien… https://t.co/wLK4pyl9pv",86
0.0,Wed Jun 06 10:01:40 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCSpringwatch: Ever heard a beatboxing starling? 🔊 🔊

#Springwatch https://t.co/NC52eJ4MX0",87
0.4215,Wed Jun 06 08:55:39 +0000 2018,0.833,0.0,0.167,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @bbcthree: Madame Poole has been ballet dancing for an astounding seven decades. #HearHer https://t.co/X6ltLoANl7,88
0.0,Wed Jun 06 08:55:07 +0000 2018,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCFOUR: Here's a sneak preview of our brand new drama #Hidden. Starts Saturday, 9pm, @BBCFour. https://t.co/cibPD1hzr3 https://t.co/te…",89
0.2732,Wed Jun 06 08:02:01 +0000 2018,0.698,0.126,0.177,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","When Mona began to lose her sight, her 84-year-old husband did something amazing for her... 💅💄❤️️

https://t.co/Qle1eoBU5x",90
-0.7579,Wed Jun 06 07:31:01 +0000 2018,0.667,0.281,0.053,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","We're all familiar with that sinking, nagging feeling we get when we realise we have made the wrong choice. 😟

But… https://t.co/NPYZY5U43f",91
0.0,Wed Jun 06 07:04:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","📻🐫🦅🐼🦈 @GregJames has got a new co-host!

Sir David Attenborough becomes a @BBCR1 DJ at 5pm today... 

https://t.co/zHHtjBZZ9v",92
-0.4019,Tue Jun 05 19:25:03 +0000 2018,0.863,0.137,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","'The problem with plastic is that it never goes away. It doesn't decompose. It defies nature.' 
#WorldEnvironmentDay https://t.co/Tkmj9qXzlK",93
-0.7184,Tue Jun 05 19:02:05 +0000 2018,0.727,0.273,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","#OurGirl is back and heading to Nigeria in the fight against terror. 

Our Girl | 9pm | @BBCOne |… https://t.co/epbhcujexD",94
0.0,Tue Jun 05 18:02:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","👶🥦 If your child's a fussy eater, here are 5 tips from scientist @Dr_C_Llewellyn. https://t.co/MOhdgXa96t",95
0.8221,Tue Jun 05 16:50:46 +0000 2018,0.719,0.0,0.281,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCTwo: Always wanted to pitch an idea to the stars of #DragonsDen? Well here’s your chance! Reply to this tweet with your best busines…,96
-0.8126,Tue Jun 05 16:31:52 +0000 2018,0.73,0.27,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","💔 Fashion designer Kate Spade, 55, has been found dead in her New York apartment.
👉 https://t.co/ku2uHiO0Nh https://t.co/sg40Mjbb12",97
-0.1531,Tue Jun 05 16:00:22 +0000 2018,0.814,0.11,0.076,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",♻️🗑 These protesters want shops to take more responsibility for the overuse of plastic packaging.… https://t.co/C4YX62DYWU,98
0.6369,Tue Jun 05 13:01:07 +0000 2018,0.84,0.0,0.16,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","❤️😽 This man has vowed to be the best 'cat dad' he can be after finding random kittens under his bed. 
👉… https://t.co/fWsKzfv8s3",99
0.8122,Tue Jun 05 12:00:22 +0000 2018,0.519,0.09,0.391,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😂 These knitted Poldark dolls are the best!
#TheGNShow https://t.co/Mpc1dWzojg",100
0.68,Sat Jun 09 21:00:02 +0000 2018,0.763,0.0,0.237,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",These two know a thing or two about awards! Watch them light up the stage tomorrow at the #TonyAwards. ✨ https://t.co/KHVZp65oLS,101
